videoId,title,description,channelTitle,publishedAt,videoId
8KFQx-mc2Ao,&#39;So you won&#39;t take down lies?&#39;: Alexandria Ocasio-Cortez challenges Facebook CEO,"Mark Zuckerberg faced a gruelling examination from the Democratic lawmaker Alexandria Ocasio-Cortez on Wednesday, with ...",Guardian News,2019-10-24T06:38:54Z,8KFQx-mc2Ao
H8ZeWDEBzoc,Rep. Ocasio-Cortez Debunks Myths About A 70% Marginal Tax,Rep. Alexandria Ocasio-Cortez wants to debunk misleading representations of her proposed 70% marginal tax rate. Subscribe To ...,The Late Show with Stephen Colbert,2019-01-22T08:35:00Z,H8ZeWDEBzoc
y6Q45l3xcA0,Pres. Biden Should Forcefully Support Ending The Filibuster &amp; Expanding SCOTUS - Rep. Ocasio-Cortez,"In the second part of her interview, Rep. Alexandria Ocasio-Cortez says Democrats, in particular President Biden, need to show ...",The Late Show with Stephen Colbert,2022-06-29T07:42:11Z,y6Q45l3xcA0
nI5WlbNd5yY,Strong Communities Talk to Each Other | Alexandria Ocasio-Cortez,"Petitioning is an essential part of the electoral process, but it's also a chance to strengthen our community and get to know our ...",Alexandria Ocasio-Cortez,2022-03-28T22:57:04Z,nI5WlbNd5yY
g8C5489Tcfk,Trump speaks out after historic arraignment. Hear AOC’s reaction,CNN's Jake Tapper speaks with Rep. Alexandria Ocasio-Cortez (D-NY) after former President Donald Trump spoke at his ...,CNN,2023-06-14T01:45:41Z,g8C5489Tcfk
h-0Tn2cpAH8,Ocasio-Cortez: &quot;Lack Of Listening On The Ground&#39; In Surprise NY Primary | Meet The Press | NBC News,"In an exclusive interview with Meet the Press, Democratic House nominee Alexandria Ocastio-Cortez tells Chuck Todd that ...",NBC News,2018-07-01T15:59:37Z,h-0Tn2cpAH8
W2O-_uXHUDQ,Rep. Ocasio-Cortez: It&#39;s &#39;shocking&#39; to see what the GOP refuses to stand for,Rep. Alexandria Ocasio-Cortez reacts to President Biden's State of the Union address and discusses how right-wing Republicans ...,MSNBC,2023-02-08T05:00:13Z,W2O-_uXHUDQ
71E0RJWDgpQ,"Rep. Alexandria Ocasio-Cortez: &quot;We Can&#39;t Just Say, &#39;Is Miami Going To Exist In 50 Years?&#39;&quot;",The Representative from New York's 14th District argues that climate change was not addressed in the way it needs to be ...,The Late Show with Stephen Colbert,2019-06-27T07:36:21Z,71E0RJWDgpQ
LgvSTVw1Pw8,"Congressional Candidate Alexandria Ocasio-Cortez on Healthcare, Education &amp; Voting","Alexandria talks about her Congressional run in New York's 14th district, fighting for healthcare, housing & education, meeting ...",Jimmy Kimmel Live,2018-10-18T07:30:01Z,LgvSTVw1Pw8
N_RzDZAkbkY,"Jordan Klepper interviews AOC, appeals to George Santos to stop by &#39;Daily Show&#39;","Jordan Klepper is hosting the Daily Show this week, and he joins Morning Joe to discuss his week, which includes an interview ...",MSNBC,2023-04-18T16:00:21Z,N_RzDZAkbkY
Jx1qmkH_X1w,"Ocasio-Cortez fires back at ex-Democrat: New party, who dis?",Congresswoman Alexandria Ocasio-Cortez is fighting back against criticism from her own party. CNN's Jason Carroll finds a new ...,CNN,2019-01-12T02:33:58Z,Jx1qmkH_X1w
6KVWU29gJYc,Clarence Thomas defends lavish vacations. Hear AOC&#39;s response,"Rep. Alexandria Ocasio-Cortez (D-NY) joins CNN's Dana Bash to discuss a federal judge's controversial abortion ruling, as well ...",CNN,2023-04-09T15:29:31Z,6KVWU29gJYc
YEpl-c78XBs,Michael Moore: Alexandria Ocasio-Cortez Is The Democratic Leader | The Last Word | MSNBC,Filmmaker Michael Moore says he wishes that Rep. Alexandria Ocasio-Cortez was old enough to run for President because she is ...,MSNBC,2019-02-02T05:10:15Z,YEpl-c78XBs
Vrvr89Z6fEw,AOC Goes Back to Bartending in the Bronx | DESUS &amp; MERO | SHOWTIME,"Representative Alexandria Ocasio-Cortez returns home to the Bronx with Desus and Mero to get her bacon egg and cheese fix, ...",DESUS & MERO,2020-02-07T04:30:02Z,Vrvr89Z6fEw
XtHLLFdue-s,Alexandria Ocasio-Cortez reacts to Texas judge&#39;s abortion pill ruling,Rep. Alexandria Ocasio-Cortez (D-NY) explains to CNN's Anderson Cooper why she believes the Biden administration should ...,CNN,2023-04-08T02:30:43Z,XtHLLFdue-s
sZuJ1Qiqkjg,AOC Shares 22 Accomplishments from 2022 | Alexandria Ocasio-Cortez,"We're proud to share Team AOC's 22 highlights in 2022. As this year comes to a close, we have a lot to celebrate - thanks to your ...",Alexandria Ocasio-Cortez,2022-12-21T16:22:04Z,sZuJ1Qiqkjg
S-nLEiX-yiI,AOC And Raskin On Stakes Of Midterms: We Are &#39;Facing An Environment Of Fascism&#39;,Rep. Alexandria Ocasio Cortez and Rep. Jamie Raskin join Chris Hayes to discuss what's at stake ahead of the midterm elections.,MSNBC,2022-10-29T02:00:07Z,S-nLEiX-yiI
Y9xJC7BexTo,Full Ocasio-Cortez Interview: Biden Shouldn&#39;t Be &#39;Limited By Republicans&#39;,"Rep. Alexandria Ocasio-Cortez (D-N.Y.) talks to Chuck Todd about Progressives' position on infrastructure investment, during an ...",NBC News,2021-06-27T16:30:09Z,Y9xJC7BexTo
A0Dfp1Aes-Y,Alexandria Ocasio-Cortez Says So Many Americans “Hate Women” | The View,"After Rep. Ocasio-Cortez was asked if she or someone like her will ever be president, #TheView co-hosts react to her saying her ...",The View,2022-09-08T18:00:06Z,A0Dfp1Aes-Y
SNUYoIPIpLU,Alexandria Ocasio-Cortez: Call Me A Radical,In an upcoming interview with Anderson Cooper AOC embraced the term when discussing FAIRLY taxing the super-rich.,The Young Turks,2019-01-05T02:30:01Z,SNUYoIPIpLU
3qu6aC2PkAk,Hasan and AOC Discuss The Green New Deal | Patriot Act Digital Exclusive | Netflix,"Before social distancing was underway, Hasan sat down with U.S. House Representative Alexandria Ocasio-Cortez (D-NY) for the ...",Netflix Is A Joke,2020-06-24T15:00:02Z,3qu6aC2PkAk
aa8nyraJQA4,Alexandria Ocasio-Cortez Joins Joy Reid On Her Stunning Upset | AM Joy | MSNBC,Alexandria Ocasio-Cortez will likely be elected to Congress during the coming midterms in a stunning upset shaking up the ...,MSNBC,2018-07-09T14:24:41Z,aa8nyraJQA4
AUb-QB8twcA,Political Newcomer Alexandria Ocasio-Cortez On Her Upset And The Road Ahead | Morning Joe | MSNBC,"Alexandria Ocasio-Cortez, a 28-year-old Bernie Sanders campaign organizer with no electoral experience, beat Rep.",MSNBC,2018-06-27T14:05:25Z,AUb-QB8twcA
s3cRp6BaD0o,Why Alexandria Ocasio-Cortez Is Willing to Break the Mold | NowThis,'We can change leadership by being ourselves as we are.' — Here's why Alexandria Ocasio-Cortez is willing to break the political ...,NowThis News,2019-03-02T20:59:47Z,s3cRp6BaD0o
I3wSSShwwwo,Cuomo presses Ocasio-Cortez on healthcare,"Democratic congressional candidate Alexandria Ocasio-Cortez says Republicans are happy to pay for tax cuts and ""unlimited ...",CNN,2018-08-09T09:31:43Z,I3wSSShwwwo
KpBUE4mlJOs,"Alexandria Ocasio Cortez Surprised Everyone, Even Herself","Alexandria Ocasio-Cortez, the 28-year-old congressional candidate who shocked America in Tuesday night's primary, has ...",The Late Show with Stephen Colbert,2018-06-28T07:35:01Z,KpBUE4mlJOs
28ZQPUcb7z4,AOC Announces 2024 Presidential Endorsement,Rep. Alexandria Ocasio-Cortez (D-N.Y.) says she will back President Biden's reelection bid on the “Pod Save America” podcast.,The Young Turks,2023-07-11T03:30:01Z,28ZQPUcb7z4
_i_WnmKACjg,Chronicling Rep. Alexandria Ocasio-Cortez’s political rise,"Despite only serving in the House for three years, Representative Alexandria Ocasio-Cortez has already made a significant ...",CBS News,2022-02-23T16:47:05Z,_i_WnmKACjg
RrsQVEk__Hc,Alexandria Ocasio-Cortez Explains Why The Green New Deal Is About More Than Climate | All In | MSNBC,AOC sits down with Chris Hayes at a town hall in the Bronx to talk about how we need to “save ourselves and the planet.” And she ...,MSNBC,2019-03-30T01:58:55Z,RrsQVEk__Hc
Actg7ojU17U,A Better World is Possible | Full Video | Alexandria Ocasio-Cortez,NY-14 mail your absentee ballot by June 23rd Early voting starts June 13th! (check locations at http://ocasiocortez.com/vote) Cast ...,Alexandria Ocasio-Cortez,2020-06-18T19:46:47Z,Actg7ojU17U
ZMViNS2DCU4,Full AOC: ‘The Supreme Court Has Dramatically Overreached Its Authority’,"In an exclusive interview with Meet the Press, Rep. Alexandria Ocasio-Cortez (D-N.Y.) talks about the Supreme Court's decision to ...",NBC News,2022-06-26T16:12:27Z,ZMViNS2DCU4
gYdfBUqHIl0,Ocasio-Cortez Is Teaching Twitter 101 On Capitol Hill,Rep. Alexandria Ocasio-Cortez wants to do the impossible. She's attempting to teach members of Congress how to use Twitter.,The Late Show with Stephen Colbert,2019-01-22T08:35:02Z,gYdfBUqHIl0
3HabtaSXfY4,Alexandria Ocasio-Cortez Makes History As First To Challenge NYC Congressional Seat In 14 Years,"At 28-years-old, Alexandria Ocasio-Cortez is already making history. On the night before the first primary election in 14 years as ...",HOT 97,2018-06-25T20:02:45Z,3HabtaSXfY4
AWzMiwK_dJs,&quot;Our Job Is To Listen To Our Communities&quot; | All In | MSNBC,"""Our job is to listen to our communities,"" said Alexandria Ocasio-Cortez, a New York Democrat running for Congress. » Subscribe ...",MSNBC,2018-10-06T01:49:47Z,AWzMiwK_dJs
